Time	Open	High	Low	Close	Volume
2023.09.04 11:30	1.07958	1.07964	1.07926	1.07935	179
2023.09.04 12:00	1.07935	1.08028	1.07924	1.08013	906
2023.09.04 12:30	1.08011	1.08047	1.07994	1.08035	676
2023.09.04 13:00	1.08037	1.08084	1.08018	1.08052	695
2023.09.04 13:30	1.08052	1.08066	1.07983	1.07991	701
2023.09.04 14:00	1.07992	1.08006	1.07966	1.07978	802
2023.09.04 14:30	1.07977	1.07999	1.07943	1.07963	921
2023.09.04 15:00	1.07964	1.08044	1.07963	1.08008	841
2023.09.04 15:30	1.08007	1.08029	1.07942	1.07946	709
2023.09.04 16:00	1.07944	1.07946	1.07842	1.07897	840
2023.09.04 16:30	1.0790899999999999	1.0790899999999999	1.07823	1.07833	901
2023.09.04 17:00	1.07834	1.0789900000000001	1.07824	1.07893	748
2023.09.04 17:30	1.07892	1.07989	1.07892	1.07977	590
2023.09.04 18:00	1.07978	1.0799	1.07929	1.07938	366
2023.09.04 18:30	1.07939	1.0796000000000001	1.07911	1.07928	289
2023.09.04 19:00	1.07928	1.07955	1.07922	1.07939	182
2023.09.04 19:30	1.07951	1.07961	1.07938	1.07938	145
2023.09.04 20:00	1.07948	1.07956	1.07938	1.07945	208
2023.09.04 20:30	1.07953	1.07964	1.07944	1.07944	152
2023.09.04 21:00	1.07944	1.07955	1.07921	1.07924	169
2023.09.04 21:30	1.07924	1.07942	1.07921	1.07929	214
2023.09.04 22:00	1.07941	1.07968	1.0793	1.07947	283
2023.09.04 22:30	1.07956	1.07966	1.07921	1.07921	209
2023.09.04 23:00	1.07961	1.07961	1.07851	1.07941	189
2023.09.04 23:30	1.07923	1.07943	1.07921	1.07932	271
2023.09.05 00:00	1.07932	1.07977	1.07931	1.07957	330
2023.09.05 00:30	1.07958	1.0796000000000001	1.07933	1.07935	217
2023.09.05 01:00	1.07935	1.0795	1.07922	1.07941	262
2023.09.05 01:30	1.07939	1.07947	1.07902	1.07912	242
2023.09.05 02:00	1.07913	1.07922	1.07876	1.07885	513
2023.09.05 02:30	1.07885	1.07935	1.07884	1.07921	429
2023.09.05 03:00	1.07922	1.07963	1.07894	1.07954	499
2023.09.05 03:30	1.07958	1.07973	1.07843	1.07877	913
2023.09.05 04:00	1.07878	1.07879	1.07843	1.07853	598
2023.09.05 04:30	1.07852	1.07872	1.07825	1.07863	510
2023.09.05 05:00	1.07863	1.07873	1.07798	1.07853	464
2023.09.05 05:30	1.07855	1.07884	1.0784799999999999	1.07874	371
2023.09.05 06:00	1.07884	1.07905	1.07855	1.07896	403
2023.09.05 06:30	1.07897	1.07937	1.07883	1.07911	618
2023.09.05 07:00	1.07911	1.0793	1.07858	1.07865	629
2023.09.05 07:30	1.07864	1.07869	1.0781	1.07849	643
2023.09.05 08:00	1.0784799999999999	1.07853	1.07614	1.07668	1530
2023.09.05 08:30	1.07667	1.07681	1.07568	1.0765500000000001	1537
2023.09.05 09:00	1.07657	1.07706	1.07597	1.07607	1923
2023.09.05 09:30	1.07606	1.0766499999999999	1.07535	1.07554	2378
2023.09.05 10:00	1.07554	1.07577	1.07409	1.07412	2124
2023.09.05 10:30	1.07412	1.07533	1.07412	1.07473	1844
2023.09.05 11:00	1.07472	1.0756000000000001	1.07457	1.0748	1125
2023.09.05 11:30	1.07481	1.07529	1.07436	1.07473	1094
2023.09.05 12:00	1.07473	1.07486	1.07424	1.0745	1165
2023.09.05 12:30	1.0745	1.07471	1.07376	1.07385	1151
2023.09.05 13:00	1.07386	1.07389	1.07283	1.07322	1299
2023.09.05 13:30	1.07323	1.07376	1.07312	1.07314	1372
2023.09.05 14:00	1.07315	1.07343	1.07216	1.07233	1659
2023.09.05 14:30	1.07233	1.07469	1.07158	1.0743	3649
2023.09.05 15:00	1.07434	1.07477	1.07323	1.07444	3173
2023.09.05 15:30	1.07442	1.07463	1.07248	1.07281	3378
